company_name,product_name,date_received,state,complaint_narrative,resolution,date_closed
Experian Information Solutions Inc.,Credit card,4/22/2024,AK,"I consistently make timely payments, of which I am certain. However, I am unsure why this company reports me as late in certain months, which should not happen. As per USC 1666b, any billing errors must be rectified, or they will be liable to pay me {$1000.00} for each account inaccurately reported.",Closed with explanation,4/22/2024
U.S. BANCORP,Checking or savings account,6/4/2024,CO,"On XX/XX/XXXX, at XXXXXXXX XXXX. I entered a XXXX parking lot with a XXXX posted parking rate of {$22.00}. I was charged {$45.00}, more than XXXX times the posted rate. This transaction was posted on XX/XX/XXXX. I promptly disputed this charge with the merchant and US Bank. I immediately submitted a form to the company but did not receive a response. I followed up on XX/XX/XXXX. I received a response on XX/XX/XXXX requesting the parking lot location. I replied on XX/XX/XXXX. On XX/XX/XXXX, XXXX XXXX, Office Manager at XXXX requested documentation showing I paid a higher rate than the posted rate. I furnished this information on XX/XX/XXXX. The company never responded. 

I also disputed the fraudulent charges with US Bank. On XX/XX/XXXX, I was granted provisional credit in the amount of {$23.00}, which represented the difference between the posted parking rate of {$22.00} and {$45.00}, the amount I paid. I was sent XXXX forms to fill out, which I promptly completed and returned to US Bank. On XX/XX/XXXX, the Provisional Credit in the amount of {$23.00} was reversed by US Bank. I promptly called US Bank on XX/XX/XXXX, at XXXXXXXX XXXX The call lasted XXXX minutes and XXXX seconds. I spoke with XXXX by telephone and stated that I never received notice of the reversal of the provisional charge. He stated that notice had been mailed the end of XXXX. I mentioned that I would like to have a copy of the form and investigation records. XXXX assured me that someone from US Bank would call me on XX/XX/XXXX. No one returned my call. 

US Bank had a fiduciary duty to act in their customers best interest. They failed to act in my best interest by allowing a company to fraudulently withdraw money from my account.",Closed with explanation,6/4/2024
CAPITAL ONE FINANCIAL CORPORATION,Credit card,5/22/2024,NC,"On the XX/XX/XXXX I logged in to access my virtual card on my regular capital one card, no issues. Then today, I try to do the same, and am being told they can not verify my phone number. The phone number in question appears to be correct, I can see the last XXXX digits. I call in to ask what is going on. I am told by the XXXX agent, that my phone number was updated on XX/XX/XXXX. I asked who updated my phone number. It wasnt me. I changed my number around XX/XX/XXXX, I called/chatted/updated my phone number with all companies I do business with, this included Capital One. Capital one is claiming they have no record of that contact and my number was updated on XX/XX/XXXX, but an unknown party or system generated. I wasnt told how it was updated even though I asked multiple times how it was updated or who updated it. XXXX, the XXXX  I talked to gave conflitcing information to what the XXXX  representative gave. Neither XXXX fixed my issue of not being able to use the Virtual card on my account despite it working a few days ago. No one told me who initiated a phone number update. No one told me why my number wasnt updated months ago when I actually didnt attempt to have my number updated. XXXX also told me that my previous number that I had for many of years was only updated last year which is also false. I never updated my previous number years after having the same number, that also makes no sense. My number was verified to log into the Capital One app, but isnt good enough to verify to get my virtual card. I am a bit concerned about their record keeping. I am concerned about the safety of my account. I am concerned for the conflicting infomation that a XXXX provides against the her co-worker. I am concerned about what keeps updating my info when its clearly not me. I want answers. Its now saying my account is at the maxium amount for adding numbers. I havent added any numbers.",In progress,5/22/2024
DISCOVER BANK,Credit card,4/9/2024,FL,In 2020 I was a victim of fraud/identity theft. My Discover card was one of my credit cards that had charges on it that were not mine! Somewhere right around $ XXXX in charges. This company has absolutely no fraud protection or prevention for their consumers! And they had no care in the world that I fell a victim to fraud and refused to work with me in getting these charges off of my account. And now has reported it on my credit report as a charge off which is hurting my credit! Ive tried calling in several times over the last 2-3yrs with no help or feedback at all!,Closed with explanation,4/9/2024
DISCOVER BANK,Credit card,3/27/2024,AR,"I am attempting to file a complaint regarding my Discover credit card account. The merchant closed the account without my consent after I agreed to set up a payment arrangement. I was recently served due to this matter which violates the XXXX XXXXXXXX XXXX XXXX XXXX. I pulled my XXXX report with each bureau and noticed that several inaccuracies with this account raise concerns. First, the balance owed is reported incorrectly with each bureau. Secondly, the date reported, closing date, and credit limit balance all reflect inaccuracies that violate the Fair Credit Reporting Act. I am kindly asking you to look into this matter. I have been a valued consumer with Discover since XX/XX/1991 and I am disappointed the merchant is now trying to sue me after an error on their end. I have attached a screenshot of the report with each bureau. I greatly appreciate your assistance in this matter.",Closed with explanation,3/27/2024
TD BANK US HOLDING COMPANY,Credit card,6/27/2024,IA,"I received a statement in the mail for a Target XXXX XXXX, saying I have a line of credit with them with a limit of {$5000.00}. I never applied for this line of credit, and I almost never shop at Target. The statement also states I have a negative balance of {$190.00}, for a purchase made on XX/XX/2024. I did not make this purchase. I called the Card Services number on the statement and spoke with representatives about my dispute. They closed the account and marked it as fraud. They told me I need to fill out a survey and mail it to them with a copy of my ID. I also filed disputes with XXXX, XXXX, and XXXX. There was also a phone number I did not recognize on my report, and I filed a dispute on that as well.",Closed with non-monetary relief,6/27/2024
Chime Financial Inc,Checking or savings account,3/26/2023,FL,I have been banking with chime for over a year and this was my first time having to file a dispute. I filed a dispute for a total of five transactions : 4 were from a subscription company called XXXX XXXX that I have NEVER signed up for or authorized and another was from a bar I did not visit. I informed chime the charges were not made by me and that I had lost my card. They subsequently filed the dispute and issued me a new debit card. 7 days later I receive a notice that my dispute was denied because no error occurred. I would like to know how chime came to this conclusion and what jurisdiction they have to tell customers unauthorized charges are legitimate. They do not protect their customers or their funds. I also suspect they do not investigate claims at all and simply deny requests and pocket funds. I would like this claim reopened and my money returned to me for these disputed charges or I will be pursuing further legal action again chime as well as closing my accounts.,Closed with explanation,3/26/2023
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,8/29/2023,MA,"Today ( XX/XX/XXXX ) I signed in online to to check my bank account with Bank of America. 
XXXX large debit charges for XXXX and XXXX were listed on my account. I do not have funds in my bank account to cover these charges. 

I called Bank of America thinking that these XXXX charges were fraudulent. The representative informed me that these were legal holds from the state of Indiana. I asked if I had any rights to refuse these charges, and I was given the number for the Indiana XXXX  XXXX XXXX : XXXX I lived in Indiana from XXXX while working as a professor at Indiana University XXXX XXXX. In XXXX I moved to Vermont and then several years later I moved to my current address in Massachusetts, where I have lived for over a decade while working as a professor at a small XXXX XXXX XXXX. 

I do not know what these charges represent and was not notified in advance of any impending deduction. I am also concerned that the statute of limitations on this debt may have expired. Now I do not have money to pay any of my bills. It is quite upsetting. 

When I looked online, I learned that Bank of America has been sanctioned by the Consumer Finance Bureau for allowing out-of-state garnishments of bank accounts and paychecks. This was just XXXX year ago, and the bank agreed to clean up its systems. They obviously are continuing to subject consumers to this illegal practice. 

Here is the link to the article on your web site, "" CFPB Orders Bank of America to Pay {$10.00} Million Penalty for Illegal Garnishments '' XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX 

Massachusetts has clear laws governing how much can be deducted from bank accounts and paychecks. According to XXXX, "" In Massachusetts, the most a creditor can garnish from your wages is the lesser of : 15 % of your gross wages ( that is, before taxes or other mandatory deductions are taken out ) or. your disposable income less XXXX times the greater of the federal or the Massachusetts hourly minimum wage per week. '' I am dismayed that Bank of America would disregard the rights of its customers in this way and that my XXXX years as a customer with Bank of America did not warrant even an advance notification. I am also upset that despite the Consumer Protection Bureau 's order, issued in XXXX, the bank has ignored the Consumer Protection Bureau 's order to clean up its systems to halt these illegal out of state garnishments of bank accounts. 

Please help if you can.",Closed with monetary relief,8/29/2023
CAPITAL ONE FINANCIAL CORPORATION,Credit card,3/11/2024,NJ,"I purchased a XXXX on XX/XX/year> using Capital One credit card. The purchase was for XXXX XXXX for {$110.00} which XXXX advertised being provided by XXXX XXXX XXXX XXXX XXXX XXXX Service provider ) I contacted service provider, I was told to text them and arrangements will be made to provide service. I never heard back from them, I called them many times and left messages but no response. The text went unanswered. I contacted XXXX and they told me that XXXX was redeemed and their responsibility ended there. I file dispute with Capital One but the said that XXXX responded to them saying XXXX was redeemed so Capital One closed dispute. 
I reached out to XXXX via chat ( none of their phone numbers work ) I was to to provide them proof that the service was not provided. I asked how I was supposed to do that, that said get a letter from service provider stating that. I was then disconnected. See chat and timing. I went back into another chat and ask them to contact service provider, I was told they were going to escalate the issue but never heard back. The only thing I got was a letter from Capital one saying I didnt provide requested info in a timely manner and did not provide what they requested. I did I gave them copy of XXXX and all chats.",Closed with explanation,3/11/2024
NAVY FEDERAL CREDIT UNION,Checking or savings account,5/21/2024,VA,"On XX/XX/XXXX, my NFCU bank account login was hacked. I was contacted by the scammers unbeknownst to myself. A "" XXXX XXXX '' took out a XXXX loan while in my account and I never received the loan documents or authorized this loan. Once the money had been deposited into XXXX of my checking accounts, the scammers got XXXX separate transactions from that XXXX deposit totaling {$8900.00}. This was reported to NFCU when they told me to update my phone, change all email passwords, before allowing me access back into my NFCU account. My initial fraud claim was denied and I received this notice when I got a letter from NFCU stating I owe them {$17000.00}. I filed an appeal and on XX/XX/XXXX I was notified over the phone that my appeal will also be denied still finding me liable. On XX/XX/XXXX I contacted the security department to request what steps were taken to even look into this fraud claim and they told me they can not share anything with me regarding the reason for denial and my only recourse is yet another appeal. I am seeking legal assistance to combat this wrongful decision. 
Attached is the statement from my mobile app showing the loan for XXXX has been satisfied. 

Since the appeal was written in XXXX, I have learned from the XXXX XXXX department that the individual who applied for the loan put down his name as "" XXXX XXXX '' and stated he had no income and was a part-time XXXX XXXX No one by the name of XXXX XXXX is an authorized user on my account, and as previously stated, I was locked out of my account when NFCU authorized this fraudulent loan and allowed XXXX external bank transfers to take place from this XXXX deposit into my checking account. 

I plan to add this information to the second appeal form since it has been brought to my attention that they apparently do no additional investigations themselves and rely on the statements I provide to make their determination. 

In no way is NFCU losing {$17000.00} and therefore it is exceedingly apparent they are grossly negligent in their demand for my repayment of such a figure within their denial letters.",Closed with explanation,5/21/2024
U.S. BANCORP,Checking or savings account,6/18/2025,CA,"On XX/XX/year>, I deposited a check for approximately {$22000.00} to us bank, they put a XXXX  day hold on the check without telling beforehand. I needed this money and they have not given me any part of the money as I am writing this on the XXXX, I believe they are supposed to give me a portion of the check.",Closed with explanation,6/18/2025
"CITIBANK, N.A.",Checking or savings account,6/17/2025,CA,"Tried to use Citi card. Did not work. Called citi bank, unable to access mobile banking app. Account blocked. Called citi bank on the phone, bank stated could not assist and to call in the morning. Called bank again, bank said account was closed due to fraud. Unable to access money or account info. No warning given.",Closed with non-monetary relief,6/17/2025
JPMORGAN CHASE & CO.,Mortgage,1/19/2022,CA,"Regardless of the multiple written requests, the JPMCB HOME accounts listed below are still reporting on my credit report in violation of Federal Law. They failed to comply with Fair Credit Reporting Act, 15 USC sections 1681i within the time declared by law and continued reporting which now, given all my attempts to address it directly with the creditor, as willful negligence and non-compliance with federal statutes. 

( JPMCB HOME XXXX, JPMCB HOME XXXX )",Closed with explanation,1/24/2022
JPMORGAN CHASE & CO.,Checking or savings account,9/28/2024,TX,"On Friday, XX/XX/XXXX, around XXXX XXXX, my wife, XXXX XXXX, and our sons, XXXX and XXXX XXXX, visited a Chase Bank branch to cash their XXXX XXXX XXXX XXXX  refund checks, totaling {$3900.00} and {$3800.00}, both issued by Chase Bank. After signing the checks in front of the teller and providing their Texas drivers licenses, they were informed that since the amounts exceeded {$2500.00}, the checks could not be cashed without an account. The teller asked if my wife had an account, to which she replied no, but I do. The teller then suggested that my sons could sign the checks over to me by having me sign beneath their signatures, allowing the checks to be deposited into my account. She mentioned a 24-hour hold on the funds. 

Following her instructions, my wife had me sign the checks, and they were deposited via ATM at XXXX XXXX. The receipt indicated that the funds would be available on XX/XX/year>. The next morning, I received an email from Chase stating that my account was restricted, prompting me to contact them. 

When I called, I was informed that a phone verification was necessary to confirm my sons ' identities. I provided their phone numbers, explaining that they are listed under my T-Mobile account, as they dont have separate bills. The verification failed since their names and addresses arent registered with Chase or XXXX. 

I requested to speak to a supervisor and was transferred to XXXX XXXX, who assured me that if I followed her instructions and brought my sons to the branch with their IDs, they would be able to unrestrict my account within 30 minutes. We visited the branch together, where we met with First Vice President and Private Client Banker, XXXX XXXX. He attempted to verify their identities via phone but faced the same automated verification issues. Despite having my sons present with valid identification, the bank representatives could not assist further and stated that my account could be closed if they couldn't resolve the matter. 

I have complied with every request from Chase Bank, yet I feel treated like a criminal, denied access to my funds, and now at risk of account closure. This entire experience has been incredibly distressing.",Closed with explanation,9/28/2024
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3/30/2024,TX,"According to the Fair Credit Reporting Act : Bank of America has furnished my non-public personal information without my consent to at least XXXX XXXX XXXX, XXXX, XXXX, and XXXX which violates my privacy. 
"" There is a need to insure that consumer reporting agencies exercise their grave responsibilities with fairness, impartiality, and a respect for the consumers right to privacy. 15 USC 1681 section 602 XXXX, XXXX, and XXXX are consumer reporting agencies and I am the Consumer. I have the right to make sure my private information is not shared.

"" It is the policy of the Congress that each financial institution has an affirmative and continuing obligation to respect the privacy of its customers and to protect the security and confidentiality of those customers nonpublic personal information. -15 USC 6801 BANK OF AMERICA , NATIONAL ASSOCIATION is a financial institution by definition under that title. 
"" In general Subject to subsection ( c ), any consumer reporting agency may furnish a consumer report under the following circumstances and no other : in accordance with the written instructions of the consumer to whom it relates. - 15 USC 1681 section 604 a section 2 BANK OF AMERICA , NATIONAL ASSOCIATION the financial institution and the Consumer reporting agencies XXXX and XXXX do not have my consent to furnish this information and they do not have my written consent. Any and all consent to XXXX, XXXX, XXXX, BANK OF AMERICA , NATIONAL ASSOCIATION whether it be implied, non-verbal, verbal, written, or otherwise is revoked. 
"" A financial institution may not disclose nonpublic personal information to a nonaffiliated third party unless the consumer is given an explanation of how the consumer can exercise that nondisclosure option. '' 15 USC 6802 ( b ) ( c ) BANK OF AMERICA , NATIONAL ASSOCIATION has never informed me of my right to exercise my nondisclosure option.

"" Except as authorized under subsection ( b ), no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years. - 15 USC 1681C ( a ) ( 5 ) This account is an adverse item they are reporting again without my permission which is against the law.

"" A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate. - 15 U.S. Code 1681s2 ( A ) ( 1 ) A "" Every consumer reporting agency shall maintain reasonable procedures designed to avoid violations of section 1681c of this title and to limit the furnishing of consumer reports to the purposes listed under section 1681b of this title. - 15 U.S. Code 1681e XXXX, XXXX and XXXX are not maintaining reasonable procedures. 
"" A consumer may exercise the right to opt out at any time. '' I am opting out of your reporting services. - 12 CFR 1016.7 This notice is pursuant to 15 USC 1692c. The term communication pursuant to 15 USC 1692a ( 2 ) means the conveying of information regarding a debt directly or indirectly to any person through any medium. This alleged debt is reporting onto my consumer report which is a form of communication and I need this charged off account removed. This is also a direct violation of 15 USC 1692d ( 1 ) as my consumer report is my reputation and because this derogatory account is being reported and causing harm to my reputation I am entitled to compensation under 15 U.S.Code 1692k ( a ) of monetary relief of { {$1000.00} } Per Violation.",Closed with explanation,3/30/2024
GOLDMAN SACHS BANK USA,Checking or savings account,6/25/2024,TX,"The fifth complaint regarding Goldman Marcus continued failure to pay me the funds from a CD that matured on XX/XX/24 - the fourth being Complaint Number XXXX. After speaking to XXXX in the complaint department on XX/XX/24, he indicated that the XXXX day period ( the time period XXXX XXXX they "" have to wait '' before paying me on a lost check ), would be XX/XX/24 and I could receive the funds ( approximate value {$26000.00} ) plus interest. He indicated they could be wired on that day, and that someone would reach out to me. 

Today is XX/XX/24 and I called Goldman- no one reached out to me, and nothing happened. After speaking with a supervisor, they gave me a case number to start addressing the problem (! ) now that 90 days had passed. The case number is XXXX. 

So, here we have a US Treasury primary dealer, who issues FDIC insured CDs, that has not paid a customer on a maturing CD for three months. If the CFPB can not force banks to do the most basic functions of a bank, I just do not understand what the purpose of the agency is? I suppose I can get an attorney friend to help me file a lawsuit, but not sure I understand why any of this is necessary. Simply wire me the funds that I am owed, plus interest and - if there is any justice - compensation for the hours wasted.",Closed with explanation,6/25/2024
AMERICAN EXPRESS COMPANY,Credit card,7/31/2024,NY,"Dear Sir or Madam, I am writing to seek assistance regarding an unresolved issue that originated in XXXX with American Express. Despite repeated attempts to resolve this matter directly with the company, I have not received a satisfactory resolution, which prompts me to request your intervention. 

In 2020, I held an American Express XXXX XXXX credit card. During that year, I received an upgrade offer directly from American Express to upgrade my card to the American Express XXXX XXXX XXXX. The terms of the offer included making a specified amount of spending to receive an upgrade bonus of approximately XXXX XXXX points. I accepted this offer, upgraded my card, and met the spending requirements as stipulated. 

However, the promised bonus points were never credited to my account. I have contacted American Express customer service numerous times, spent many hours in discussions, and even sent a formal letter to their headquarters in New York, seeking a resolution. Each time, my claims have been denied with the response that no such offer was attached to my card. This has been extremely frustrating and time-consuming. 

I have since closed that particular card and currently hold another American Express XXXX XXXX XXXX card. However, the issue of the missing XXXX points from the previous card remains unresolved. 

Given the circumstances, I kindly request the Consumer Financial Protection Bureau to assist me in this matter. I believe that an investigation into this issue may necessitate a review of the communications and promotions sent by American Express to its customers, as well as their internal handling of such offers and customer complaints. 

Thank you for considering my request. I am hopeful for your support and am looking forward to a resolution that recognizes the commitments made to me as a consumer. 

Sincerely,",Closed with explanation,7/31/2024
GOLDMAN SACHS BANK USA,Checking or savings account,5/11/2023,CT,"On XX/XX/2023, I opened an Apple Savings account and deposited money from two external accounts. On XX/XX/2023, I requested a withdrawal from Apple Savings to one of the accounts I had deposited from. The Wallet app ( where customers can manage the account ) said the transaction would take 1-3 business days. After 5 business days, on XX/XX/2023, I contacted the Apple Savings support team via chat to inquire about the transaction. I was told I had to call in to solve such issues. When I called the number I was given over the chat ( XXXX XXXX XXXX XXXX ), the representative couldn't populate my account on the system. I tried this several times over 4-5 hours. The support could only access my account after I called the same phone number and requested to speak with Apple Card support, which transferred me to the specialty department and Apple Savings. At last, the attendant told me the transfer would be canceled and my money would be back in my account within 48 hours. On the next day, XX/XX/2023, I requested to verify a new external bank account I added, hoping I could use it for a more timely transfer. I face an issue with troubles verifying my account. I ultimately gave up, but one attendant guaranteed my money was on its way back to my Apple Savings account. On XX/XX/2023, the day my Apple Savings account should've been funded, I saw no balance on my account. After reaching out to chat support, I was told the transfer was never canceled and I should wait another 5 business days for the money to appear in my external bank account. At that point, I realized the company stole my money and was just creating excuses, hoping I'd wait until I forget about these transactions. Despite all these lies here mentioned, some attendants said my Apple Savings account was linked to my Apple Card, while Apple Card support said the opposite.",Closed with explanation,5/11/2023
WELLS FARGO & COMPANY,Mortgage,5/17/2023,GA,"XXXX XXXXXXXX XXXX ( XXXX ) originated my Dept of VA loan on XX/XX/XXXX and failed to deliver and record the Deed of Trust ( DOT ) before it sold my loan to XXXX XXXX XXXX ( XXXX ) on XX/XX/XXXX. XXXX failed to follow the requirements of the correspondent agreement that required that a DOT be recorded and the Assignment of DOT be recorded at XXXX XXXX XXXX of Deeds. So on XX/XX/XXXX, XXXX submitted and had accepted my loan into their XXXX XXXX XXXX without having title recorded which made the loan disqualified for the XXXX XXXX as all loans accepted into a XXXX XXXX must have title recorded. XXXX had used the required UCC3 procedure in endorsing the mortgage loan Note in blank as does ever loan pooled must have done giving XXXX ownership of the Note, but not the debt which XXXX can not purchase per US Congress that prevents XXXX from buying or selling a mortgage loan. XXXX to cover up their error did on XX/XX/XXXX have record the DOT while not having any financial interest in the loan, making it an illegal claim of a debt owed to them when in fact they been paid off in full on XX/XX/XXXX. XXXX on XX/XX/XXXX, write a Limit Power of Attorney ( POA ) to address the failure to provide XXXX with the required documents, which was written by XXXX XXXX XXXX XXXX. Wells took over servicing my loan on XX/XX/XXXX which they became in possession of my complete file through the purchasing of mortgage servicing rights of XXXX XXXX Fed Gov Back loans. Starting around the country on or about XX/XX/XXXX, XXXX started assigning the DOT to XXXX XXXX Fed Gov mortgage back loan to Wells which rapped up around XX/XX/XXXX. Now my loan was not assigned at that time but while Wells was servicing my loan XXXX did have recorded the POA on XX/XX/XXXX, which of the only 4 loans originated by XXXX in XXXX XXXX my loan was the only loan that did not have an Assignment of DOT recorded. XXXX was declared a "" failed bank '' on XX/XX/XXXX, and stopped existing. XXXX not existing did not file for bankruptcy and never called my loan due as it was not in default and did not have an Assignment of DOT, leaving no other entity with a financial interest in the loan originated on XX/XX/XXXX. Wells sent this issue to an outside attorney as if XXXX owned the debt which they did not, and the law firm in XXXX & XXXX who's employee Attorney XXXX XXXX moonlighting as XXXX  Assistant Secretary fraudulently created the Assignment of DOT XX/XX/XXXX granting Wells with a lien against my property as it they purchased a debt that ended on XX/XX/XXXX! Wells would act as if they were the lender with the Notice of Default and Assignment of DOT and was not until a week or so before the foreclosure admit they were not the lender and said an investor was the owner of the debt. A year after the foreclosure Wells writes that XXXX was the investor, which investor in non-judicial terms is the owner of the debt. XXXX never held a debt from me. With the Wells 's fraudulent actions it prevent action by me to solve this issue as with a modification or bankruptcy because Wells was not honest about the situation and is why they did not process my file for the HAMP or VA HAMP because there was no counterparty in this matter. The Dept of VA was also victimized because it used federal dollars to purchase my property from a party they did not own any debt as in XXXX, and it in return sold they stolen goods to another party! As with the CFPB XX/XX/XXXX, fine for issue that happen back in XXXX, this fraud against me and the Federal Government does not have a statute of limitations!",Closed with explanation,5/17/2023
SYNCHRONY FINANCIAL,Checking or savings account,8/29/2022,NJ,"After opening a saving account, I learned from reviews online that bank if a fraud. It does not answer requests accurately ; invent obstacles and causes delays in answering the phones. And even when they answer the phone, they never address the problem. 

They put restrictions on my account, and I could not withdraw my fund and close the account. They kept saying they'll send a link and request a code, but nothing is what they say. They are blocking me from using my account since XX/XX/2022. 

They keep the person waiting over the phone, until he gives-up and hang-up. A very insolvent bank. Most reviewers for the bank rate them at XXXX and warn users not to use the bank. I believe the business should be closed and prevented from scamming people of their money.",Closed with explanation,8/29/2022
SYNCHRONY FINANCIAL,Credit card,3/22/2024,TN,"I have a charge account with Conn 's Home Plus for an appliance purchase. I have autopay and never missed a payment in 3 years. I am on my last 3 payments and mysteriously there is a "" glitch '' and autopay stops working but is still enabled. I get a text my account is past due and to make a payment. I have never had any issue in 3 years and never had to even contact customer service. I see this is possible suspicious behavior and illegal attempt to extract extra fees or interest by forcing account to default near maturity. Please investigate.",Closed with explanation,3/25/2024
"CITIBANK, N.A.",Checking or savings account,4/20/2024,TN,"On XX/XX/XXXX I noticed two withdrawals from my XXXX XXXX checking account made on XX/XX/XXXX for {$48000.00} and XX/XX/XXXX for {$32000.00}. This amount was all of my cash savings. I immediately called the bank 's fraud department to notify them of the unauthorized payment and the bank opened a claim XXXX. They informed me that amount was withdrawn by Citibank account with under my name so I next called them to find who made the transaction and I found that there really was a bank account in my name at Citibank. I hold a credit card account with Citibank but I never created a bank account with them. I asked to talk to the fraud department at Citibank to notify them of the fraudulent account. They said they will look into my report but refused to provide a reference number for my report. Next, I called the local police department to report the theft. XXXX. XXXX XXXX created a report for me after acquiring all the information. 

Over the last month, I was able to get a case number from Citibank and was advised that I would receive an affidavit and documentation in mail. It has been 3 weeks and no documents arrived in the mail. This account was used to commit theft on my checking account. I want to know how did Citibank authenticate the identity while account creation. Why didn't I receive any communications regarding this account in my name? How were transactions allowed with no passwords, OTP or third party authentication? Citibank had my information on their database as I hold a credit card with them. Why was the information not cross-referenced during account creation? Who holds the funds that were stolen from my checking account?",Closed with explanation,4/20/2024
WELLS FARGO & COMPANY,Checking or savings account,4/1/2024,NJ,Wells Fargo locked my acct after I reported fraud on my account. I was then told my account was closed due to misuse of debit card. They allowed transactions to go thru without my knowledge. Sent a bill pay check not in my name to pay someone's rent. I was charged chargebacks and fees for trandactions. Total XXXX,Closed with explanation,4/1/2024
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3/10/2024,TX,Bank of America erroneously put on my credit report that I owe them money which I don't their system is wrong. They refuse to speak to me about it. They refuse to answer my questions and they refuse to give me documentations that I ask for. They have acknowledge that the information is incorrect but they refuse to correct it. Again they refuse to send me the documentations I request on my account.,Closed with explanation,3/10/2024
"CITIBANK, N.A.",Credit card,4/29/2024,CA,"Citi cards is refusing to credit and close my account after they cashed my cashiers check for XXXX. Two days after cashing my check for the account the company then asked for a payment of XXXX and charged me for fees and interest. I told them this is unethical practices. 

Citi cards reconciled the check on XX/XX/XXXX and they still had not credit my account on XX/XX/XXXX. 

On Saturday, XX/XX/XXXX I called while I was in the bank to make sure I had all the correct information. The bank then printed out the screen that had the reconciled date on it and the image of the check. I am at work and can not add that currently but will be able to do so later tonigh. 

They still have not credit my account and it has been 7 days since the company cashed my cashiers check.",Closed with monetary relief,5/1/2024
JPMORGAN CHASE & CO.,Checking or savings account,3/23/2022,IL,"I set up a bill pay through Chase Bank for XXXX XXXX XXXX  on XX/XX/XXXX. The payment was set to be made on XX/XX/XXXX. On XX/XX/XXXX the payment was taken out of my account. Around mid XX/XX/XXXX I received the mortgage statement and it stated my payment was past due. At that point I called Chase bank to find out why XXXX XXXX XXXX  was showing a missing payment as Chase was showing that the payment was sent and accepted by XXXX. I then was in contact with XXXX. They did extensive research to try to find the payment that Chase bank insisted had been sent and that the fund were accepted. The payment information was entered correctly and the bank shows it sent it electronically. Every week in XXXX and up until XX/XX/XXXX Chase insisted that the funds were accepted by XXXX and that at this point there was nothing they could do and that it was out of their hands since the funds had already been withdrawn and accepted. XXXX informed Chase that they do not accept electronic payments, only paper checks. I opened a claim through Chase Bank XXXX XXXX. On XXXX XXXX I was informed by Chase that the payment to XXXX was processed according to the information provided. Chase also said no adjustments would be made to my account at this time. I continued to be in contact with the bank and XXXX in hopes to get a resolution. On XXXX XXXX once again I was in contact Chase Claims department on a XXXX way call with XXXX. This time the customer service agent from Chase informed us that the payment actually went to XXXX XXXX  XXXX ( XXXX XXXX is the Parent Company ). At no point has Chase mentioned that it was sent to a different mortgage company these past 2 months that we have been calling and going back and forth and they insisted the payment had been sent and accepted by XXXX. My contact at XXXX and I immediately call XXXX XXXX  to try to get a hold of someone that can possibly help us track the payment they somehow accepted. The Customer service rep at XXXX unfortunately was not able to help as they need an account number or social security in order to help us. They said there was no way of accepting a payment if there is no account or social security on file. However, the XXXX no is saying that the payment was sent and accepted to XXXX. I was never informed of this information until XX/XX/XXXX. I questioned them as to why they are not able to help resolve this huge mistake that the bank made. The Chase bank told me it is out of they hands and they can not retrieve the money or do anything at all because the money was accepted and it was past 30 days and they could no longer cancel the payment. I even went to Chase bank in person as I am getting no where via phone. The Chase bank rep told me the exact same thing they have been telling me over the phone. He sent an email to people higher up regarding the situation but informed me that they might not be able to do anything to retrieve my money. In a few days it will be 3 months this ongoing issue has been dragging on and I am at a loss. The bank made the mistake from the get go and failed to provide me with the correct information and I need assistance retrieving my money that was taken out of my account and sent to the wrong company without my authorization.",Closed with explanation,3/23/2022
CAPITAL ONE FINANCIAL CORPORATION,Credit card,7/5/2024,CA,"We had recently purchased a holiday trip to XXXX using our Capital One venture X credit card. Due to my husband 's XXXX we had to cancel our trip that we made 3 months ago. We cancelled the trip with Costco Travel and they gave us {$3000.00} out of {$4100.00}. Our credit card promised that they cover trip insurances but when we filed a claim for this trip cancellation they are coming back with all their hidden rules and not returning our non refundable money back that Costco didn't give us back which is {$1100.00}. 

I am not happy that we are stuck with this credit card folks for our trip. It's not been an easy conversation with them and on top of that my family is also sick. It's been a terrible experience to have purchased our trip with them",Closed with explanation,7/5/2024
